Begin,End,Label,Type,Speaker
0.03,0.19,but,words,temp
0.19,0.32,when,words,temp
0.32,0.47,i,words,temp
0.47,0.64,had,words,temp
0.64,1.25,approached,words,temp
1.25,1.58,so,words,temp
1.58,1.91,near,words,temp
1.91,2.08,to,words,temp
2.08,2.42,them,words,temp
2.52,2.61,the,words,temp
2.61,3.02,common,words,temp
3.06,3.6,object,words,temp
3.68,3.92,which,words,temp
3.92,4.02,the,words,temp
4.02,4.35,sense,words,temp
4.35,4.97,deceives,words,temp
5.05,5.54,lost,words,temp
5.54,6.01,not,words,temp
6.01,6.14,by,words,temp
6.14,6.67,distance,words,temp
6.8,7.06,any,words,temp
7.06,7.19,of,words,temp
7.19,7.34,its,words,temp
7.34,7.87,marks,words,temp
0.03,0.07,B,phones,temp
0.07,0.12,AH1,phones,temp
0.12,0.19,T,phones,temp
0.19,0.24,W,phones,temp
0.24,0.28,EH1,phones,temp
0.28,0.32,N,phones,temp
0.32,0.47,AY1,phones,temp
0.47,0.56,HH,phones,temp
0.56,0.6,AE1,phones,temp
0.6,0.64,D,phones,temp
0.64,0.71,AH0,phones,temp
0.71,0.83,P,phones,temp
0.83,0.88,R,phones,temp
0.88,0.99,OW1,phones,temp
0.99,1.18,CH,phones,temp
1.18,1.25,T,phones,temp
1.25,1.41,S,phones,temp
1.41,1.58,OW1,phones,temp
1.58,1.71,N,phones,temp
1.71,1.84,IH1,phones,temp
1.84,1.91,R,phones,temp
1.91,2.02,T,phones,temp
2.02,2.08,AH0,phones,temp
2.08,2.14,DH,phones,temp
2.14,2.31,EH1,phones,temp
2.31,2.42,M,phones,temp
2.52,2.56,DH,phones,temp
2.56,2.61,AH0,phones,temp
2.61,2.74,K,phones,temp
2.74,2.86,AA1,phones,temp
2.86,2.91,M,phones,temp
2.91,2.96,AH0,phones,temp
2.96,3.02,N,phones,temp
3.06,3.22,AA1,phones,temp
3.22,3.28,B,phones,temp
3.28,3.35,JH,phones,temp
3.35,3.49,EH0,phones,temp
3.49,3.55,K,phones,temp
3.55,3.6,T,phones,temp
3.68,3.72,HH,phones,temp
3.72,3.77,W,phones,temp
3.77,3.8,IH1,phones,temp
3.8,3.92,CH,phones,temp
3.92,3.96,DH,phones,temp
3.96,4.02,AH0,phones,temp
4.02,4.13,S,phones,temp
4.13,4.21,EH1,phones,temp
4.21,4.27,N,phones,temp
4.27,4.35,S,phones,temp
4.35,4.43,D,phones,temp
4.43,4.46,IH0,phones,temp
4.46,4.59,S,phones,temp
4.59,4.79,IY1,phones,temp
4.79,4.88,V,phones,temp
4.88,4.97,Z,phones,temp
5.05,5.12,L,phones,temp
5.12,5.33,AA1,phones,temp
5.33,5.42,S,phones,temp
5.42,5.54,T,phones,temp
5.54,5.7,N,phones,temp
5.7,5.9,AA1,phones,temp
5.9,6.01,T,phones,temp
6.01,6.05,B,phones,temp
6.05,6.14,AY1,phones,temp
6.14,6.24,D,phones,temp
6.24,6.31,IH1,phones,temp
6.31,6.38,S,phones,temp
6.38,6.45,T,phones,temp
6.45,6.52,AH0,phones,temp
6.52,6.58,N,phones,temp
6.58,6.67,S,phones,temp
6.8,6.9,EH1,phones,temp
6.9,6.96,N,phones,temp
6.96,7.06,IY0,phones,temp
7.06,7.14,AH0,phones,temp
7.14,7.19,V,phones,temp
7.19,7.23,IH0,phones,temp
7.23,7.3,T,phones,temp
7.3,7.34,S,phones,temp
7.34,7.4,M,phones,temp
7.4,7.5,AA1,phones,temp
7.5,7.58,R,phones,temp
7.58,7.7,K,phones,temp
7.7,7.87,S,phones,temp
