Begin,End,Label,Type,Speaker
0.4,0.95,hello,words,temp
0.98,1.22,my,words,temp
1.22,1.41,name,words,temp
1.41,1.51,is,words,temp
1.51,2.15,daniella,words,temp
2.47,2.55,i,words,temp
2.55,2.7,am,words,temp
2.7,3.15,currently,words,temp
3.15,3.95,exploring,words,temp
4.22,4.4,new,words,temp
4.4,5.25,technologies,words,temp
5.3,5.53,and,words,temp
5.53,6.08,testing,words,temp
6.32,6.54,how,words,temp
6.54,6.76,this,words,temp
6.76,7.14,voice,words,temp
7.14,7.51,model,words,temp
7.51,7.97,works,words,temp
8.49,8.65,it,words,temp
8.65,8.82,is,words,temp
8.82,9.04,really,words,temp
9.04,9.59,exciting,words,temp
9.59,9.7,to,words,temp
9.7,10.1,see,words,temp
10.15,10.4,what,words,temp
10.4,11.0,artificial,words,temp
11.0,11.93,intelligence,words,temp
12.08,12.27,can,words,temp
12.27,12.44,do,words,temp
12.44,12.94,today,words,temp
0.4,0.5,HH,phones,temp
0.5,0.56,AH0,phones,temp
0.56,0.59,L,phones,temp
0.59,0.95,OW1,phones,temp
0.98,1.09,M,phones,temp
1.09,1.22,AY1,phones,temp
1.22,1.27,N,phones,temp
1.27,1.38,EY1,phones,temp
1.38,1.41,M,phones,temp
1.41,1.47,IH1,phones,temp
1.47,1.51,Z,phones,temp
1.51,1.59,D,phones,temp
1.59,1.64,AE2,phones,temp
1.64,1.7,N,phones,temp
1.7,1.84,Y,phones,temp
1.84,1.95,EH1,phones,temp
1.95,1.99,L,phones,temp
1.99,2.15,AH0,phones,temp
2.47,2.55,AY1,phones,temp
2.55,2.58,AE1,phones,temp
2.58,2.7,M,phones,temp
2.7,2.78,K,phones,temp
2.78,2.88,ER1,phones,temp
2.88,2.92,AH0,phones,temp
2.92,3.0,N,phones,temp
3.0,3.07,T,phones,temp
3.07,3.12,L,phones,temp
3.12,3.15,IY0,phones,temp
3.15,3.2,IH0,phones,temp
3.2,3.28,K,phones,temp
3.28,3.41,S,phones,temp
3.41,3.51,P,phones,temp
3.51,3.59,L,phones,temp
3.59,3.71,AO1,phones,temp
3.71,3.77,R,phones,temp
3.77,3.82,IH0,phones,temp
3.82,3.95,NG,phones,temp
4.22,4.27,N,phones,temp
4.27,4.32,Y,phones,temp
4.32,4.4,UW1,phones,temp
4.4,4.46,T,phones,temp
4.46,4.5,EH0,phones,temp
4.5,4.6,K,phones,temp
4.6,4.67,N,phones,temp
4.67,4.75,AA1,phones,temp
4.75,4.83,L,phones,temp
4.83,4.88,AH0,phones,temp
4.88,4.99,JH,phones,temp
4.99,5.14,IY0,phones,temp
5.14,5.25,Z,phones,temp
5.3,5.36,AE1,phones,temp
5.36,5.45,N,phones,temp
5.45,5.53,D,phones,temp
5.53,5.58,T,phones,temp
5.58,5.67,EH1,phones,temp
5.67,5.76,S,phones,temp
5.76,5.86,T,phones,temp
5.86,5.94,IH0,phones,temp
5.94,6.08,NG,phones,temp
6.32,6.4,HH,phones,temp
6.4,6.54,AW1,phones,temp
6.54,6.59,DH,phones,temp
6.59,6.67,IH1,phones,temp
6.67,6.76,S,phones,temp
6.76,6.89,V,phones,temp
6.89,7.01,OY1,phones,temp
7.01,7.14,S,phones,temp
7.14,7.2,M,phones,temp
7.2,7.28,AA1,phones,temp
7.28,7.36,D,phones,temp
7.36,7.48,AH0,phones,temp
7.48,7.51,L,phones,temp
7.51,7.57,W,phones,temp
7.57,7.66,ER1,phones,temp
7.66,7.79,K,phones,temp
7.79,7.97,S,phones,temp
8.49,8.57,IH1,phones,temp
8.57,8.65,T,phones,temp
8.65,8.72,IH1,phones,temp
8.72,8.82,Z,phones,temp
8.82,8.9,R,phones,temp
8.9,8.95,IY1,phones,temp
8.95,9.01,L,phones,temp
9.01,9.04,IY0,phones,temp
9.04,9.08,IH0,phones,temp
9.08,9.14,K,phones,temp
9.14,9.28,S,phones,temp
9.28,9.41,AY1,phones,temp
9.41,9.45,T,phones,temp
9.45,9.54,IH0,phones,temp
9.54,9.59,NG,phones,temp
9.59,9.65,T,phones,temp
9.65,9.7,AH0,phones,temp
9.7,9.88,S,phones,temp
9.88,10.1,IY1,phones,temp
10.15,10.18,HH,phones,temp
10.18,10.25,W,phones,temp
10.25,10.34,AH1,phones,temp
10.34,10.4,T,phones,temp
10.4,10.43,AA2,phones,temp
10.43,10.46,R,phones,temp
10.46,10.56,T,phones,temp
10.56,10.6,AH0,phones,temp
10.6,10.73,F,phones,temp
10.73,10.8,IH1,phones,temp
10.8,10.94,SH,phones,temp
10.94,10.97,AH0,phones,temp
10.97,11.0,L,phones,temp
11.0,11.2,IH0,phones,temp
11.2,11.27,N,phones,temp
11.27,11.35,T,phones,temp
11.35,11.41,EH1,phones,temp
11.41,11.47,L,phones,temp
11.47,11.53,AH0,phones,temp
11.53,11.62,JH,phones,temp
11.62,11.72,AH0,phones,temp
11.72,11.79,N,phones,temp
11.79,11.93,S,phones,temp
12.08,12.15,K,phones,temp
12.15,12.2,AH0,phones,temp
12.2,12.27,N,phones,temp
12.27,12.33,D,phones,temp
12.33,12.44,UW1,phones,temp
12.44,12.52,T,phones,temp
12.52,12.58,AH0,phones,temp
12.58,12.65,D,phones,temp
12.65,12.94,EY1,phones,temp
