Begin,End,Label,Type
0.000,0.592,כמו,words
0.592,1.184,כן,words
1.184,1.777,מטייל,words
1.777,2.369,בריטי,words
2.369,2.961,בספרד,words
2.961,3.553,עלול,words
3.553,4.145,להבין,words
4.145,4.737,בטעות,words
4.737,5.330,נפנוף,words
5.330,5.922,לשלום,words
5.922,6.514,בכף,words
6.514,7.106,יד,words
7.106,7.698,הפונה,words
7.698,8.290,לכיוון,words
8.290,8.883,המנופף,words
8.883,9.475,ולא,words
9.475,10.067,לכיוון,words
10.067,10.659,האדם,words
10.659,11.251,שאליו,words
11.251,11.843,מנופפים,words
11.843,12.436,כמחווה,words
12.436,13.028,לחזור,words
13.028,13.620,בחזרה,words
